id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
26,2023-11-08 21:23:21.673249+00:00,,t,intrinsic,12B,72765337808511637,648518346486667469,[ 20768 122696   3719]
27,2023-11-08 21:23:21.673837+00:00,,t,local,5B,73188168815998275,648518346506641442,[ 33072 140848   3842]
32,2023-11-08 21:23:21.676922+00:00,,t,local,5B,73258880754735263,648518346491587270,[ 36144 151520   3070]
35,2023-11-08 21:23:21.678698+00:00,,t,local,17A,72483861355190309,648518346492766126,[ 12632 122568    828]
36,2023-11-08 21:23:21.679290+00:00,,t,intrinsic,12B,74174703744727317,648518346486842265,[ 62896 181464    217]
37,2023-11-08 21:23:21.679872+00:00,,t,local,8B,72695037515181022,648518346489700915,[ 19592 123296   3171]
38,2023-11-08 21:23:21.680449+00:00,,t,intrinsic,12B,72837835513667607,648518346494321915,[ 23726 184448   1035]
39,2023-11-08 21:23:21.681026+00:00,,t,intrinsic,17A,72483998995521291,648518346489985563,[ 12952 124968   1268]
40,2023-11-08 21:23:21.681590+00:00,,t,sensory,radCO,72202249073516874,648518346489617349,[  5699 118640   1059]
41,2023-11-08 21:23:21.682181+00:00,,t,ascending,17B_u,72837423264206688,648518346496504700,[ 22712 172792   1192]
45,2023-11-08 21:23:21.684602+00:00,,t,local_intersegmental,6B,73682192194530483,648518346478888656,[ 48592 183896   2029]
47,2023-11-08 21:23:21.685750+00:00,,t,local,8B,73891306367694427,648518346489724377,[ 53776 124000   3582]
138,2023-11-09 21:49:30.653817+00:00,,t,intrinsic,t3_uk,73963528859748517,648518346486294468,[ 55504 179888    293]
49,2023-11-08 21:23:21.686905+00:00,,t,intrinsic,8B,73891306434693887,648518346503207803,[ 54728 123024   3706]
50,2023-11-08 21:23:21.687486+00:00,,t,ascending,12B,73611754462403053,648518346504949107,[ 46744 180224   1513]
132,2023-11-09 21:49:30.649528+00:00,,t,intrinsic,12B,74174635092642979,648518346483467852,[ 62304 179512    390]
345,2023-11-15 06:13:58.253855+00:00,,t,ascending,t3_abd,73331241289850288,648518346479153872,[ 38000 210288    957]
185,2023-11-11 01:33:53.552130+00:00,,t,intrinsic,hlx16,72908411423394596,648518346489059825,[ 24632 190952   3055]
82,2023-11-08 21:53:16.016513+00:00,,t,local,11B,73047635740935733,648518346496978860,[ 29848 145976    519]
83,2023-11-08 21:53:16.017142+00:00,,t,local,8B,72695106435845884,648518346511161653,[ 18968 125656   3480]
84,2023-11-08 21:53:16.017755+00:00,,t,ascending,t3_uk,73119035344559006,648518346480087781,[ 31088 176256    649]
85,2023-11-08 21:53:16.018375+00:00,,t,local_intersegmental,2A,73400785467384837,648518346480946176,[ 40376 184720   1079]
86,2023-11-08 21:53:16.018972+00:00,,t,local_intersegmental,6B,73752561139886102,648518346493559288,[ 50296 183336   2342]
159,2023-11-10 05:37:14.761634+00:00,,t,intrinsic,2A,73257025261806511,648518346486185362,[36160 95568  2953]
115,2023-11-09 04:40:27.620195+00:00,,t,local,hlx16,72343193324635878,648518346483096038,[  8600 123544   2309]
